hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,animalType
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mammal
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mammal
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mammal
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Other
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Other
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Other
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Other
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Other
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Other
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Other
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Other
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Other
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Other
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Other
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Other
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Other
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Other
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Other
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Other
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Other
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Other
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Other
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Other
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Other
